"","AlertCategory","NetworkEventType","NetworkInteractionType","DataTransferVolume_IN","DataTransferVolume_OUT","TransactionsPerSession","NetworkAccessFrequency","UserActivityLevel","SessionIntegrityCheck","ResourceUtilizationFlag","SecurityRiskLevel","ResponseTime","Classification"
"258315","Warning","PolicyViolation","Anomalous",111700937,77257185,18502,36606,5,FALSE,TRUE,166130942,41.62354,"Normal"
"188871","Warning","PolicyViolation","Elevated",130545882,196275074,42558,39796,5,FALSE,TRUE,205759484,23.68434,"Normal"
"153152","Warning","PolicyViolation","Anomalous",171689846,83689211,21081,31963,3,FALSE,FALSE,101483093,46.24764,"Normal"
"78012","Warning","NormalOperation","Suspicious",136731220,188461354,43448,46786,7,FALSE,FALSE,135195612,26.17964,"Normal"
"266730","Warning","PolicyViolation","Suspicious",122860200,186821169,40424,31043,6,FALSE,FALSE,131457154,36.28186,"Normal"
"128587","Warning","PolicyViolation","Suspicious",136239575,166977159,36729,34805,5,TRUE,FALSE,157773631,35.79559,"Normal"
"170753","Warning","PolicyViolation","Anomalous",126178612,146224650,31960,31570,5,TRUE,FALSE,163298688,21.3625,"Normal"
"194636","Warning","PolicyViolation","Suspicious",134792718,169564006,37344,34212,5,TRUE,FALSE,170992236,21.67917,"Normal"
"272091","Warning","PolicyViolation","Anomalous",134457550,140498605,32628,42835,6,TRUE,FALSE,136560615,25.52559,"Normal"
"98211","Warning","PolicyViolation","Suspicious",134513494,178124692,38971,35903,5,TRUE,FALSE,173696617,31.69575,"Normal"
"362151","Warning","PolicyViolation","Suspicious",130455448,158565691,34126,34767,5,TRUE,FALSE,165382363,24.57129,"Normal"
"2559","Warning","NormalOperation","Anomalous",127124305,139982964,32204,43222,6,TRUE,FALSE,158232237,38.27998,"Normal"
"75926","Alert","PolicyViolation","Suspicious",128457985,153774049,34587,38943,5,FALSE,FALSE,149543497,24.35557,"Normal"
"39537","Warning","PolicyViolation","Suspicious",120444699,178255283,37954,38657,5,FALSE,TRUE,185609292,31.75499,"Normal"
"364019","Warning","PolicyViolation","Anomalous",126799697,126055164,26530,34203,4,TRUE,FALSE,180839844,27.46168,"Normal"
"288967","Warning","PolicyViolation","Suspicious",139045984,189563812,42543,32726,6,FALSE,FALSE,179381744,32.4239,"Normal"
"408438","Warning","PolicyViolation","Anomalous",124790954,120502221,25773,26346,4,TRUE,TRUE,166829496,35.85513,"Normal"
"129971","Warning","PolicyViolation","Suspicious",126012866,176140943,38993,36884,5,TRUE,FALSE,166255900,30.486,"Normal"
"169437","Warning","NormalOperation","Anomalous",138046817,126690245,29425,25064,6,TRUE,FALSE,180876951,28.86857,"Normal"
"368391","Warning","PolicyViolation","Suspicious",138355372,149169813,34003,32926,5,FALSE,FALSE,197191906,19.21289,"Normal"
"327606","Warning","PolicyViolation","Suspicious",130502943,184834942,40557,39980,6,FALSE,FALSE,172519901,18.20026,"Normal"
"78083","Informational","ThreatDetected","Anomalous",127084890,139153171,32665,20618,7,FALSE,FALSE,148270721,29.2847,"Normal"
"415387","Warning","PolicyViolation","Suspicious",126937085,190923923,41933,25978,6,FALSE,FALSE,88127152,37.29284,"Normal"
"334902","Alert","PolicyViolation","Anomalous",135934582,134404485,30440,29836,5,TRUE,FALSE,147700255,39.72246,"Normal"
"405872","Warning","PolicyViolation","Suspicious",146949702,114948172,29419,49077,5,FALSE,FALSE,124214260,21.10172,"Normal"
"447733","Warning","PolicyViolation","Anomalous",135330026,134089511,29077,26634,4,FALSE,FALSE,175578449,22.16411,"Normal"
"257684","Warning","PolicyViolation","Anomalous",128409874,124398859,28261,36011,5,FALSE,FALSE,182915776,30.22045,"Normal"
"212613","Warning","PolicyViolation","Anomalous",122318995,118309606,26040,36106,5,FALSE,FALSE,143554482,36.95618,"Normal"
"192101","Warning","PolicyViolation","Anomalous",135143475,121218775,27488,40575,5,FALSE,FALSE,157179808,37.08523,"Normal"
"197066","Warning","PolicyViolation","Suspicious",131466163,161017194,36900,30172,6,FALSE,FALSE,197538014,36.82294,"Normal"
"56225","Warning","PolicyViolation","Anomalous",131876845,129710883,31391,38881,7,TRUE,FALSE,121447041,22.68223,"Normal"
"248340","Warning","PolicyViolation","Suspicious",128527819,144920684,31776,26556,5,FALSE,FALSE,145964750,18.90958,"Normal"
"140715","Warning","PolicyViolation","Anomalous",134601059,117997238,28372,40045,6,TRUE,FALSE,144451952,30.19984,"Normal"
"159184","Warning","PolicyViolation","Anomalous",123645325,112960034,24816,27977,4,FALSE,TRUE,65606069,19.78257,"Normal"
"309411","Warning","PolicyViolation","Anomalous",131652304,116748319,27197,28651,5,TRUE,FALSE,153802748,27.76716,"Normal"
"4071","Warning","PolicyViolation","Anomalous",133654846,136488554,30540,27875,6,TRUE,FALSE,193867688,24.15161,"Normal"
"213484","Warning","PolicyViolation","Anomalous",137327265,142726292,31132,49065,5,TRUE,FALSE,186936559,37.76687,"Normal"
"310148","Warning","NormalOperation","Critical",127919897,103718971,23436,36941,5,FALSE,FALSE,194881519,36.77143,"Normal"
"86053","Warning","PolicyViolation","Anomalous",140667195,125443967,29895,33224,6,TRUE,FALSE,175556831,29.55135,"Normal"
"423527","Warning","PolicyViolation","Critical",130332517,94441835,22875,38520,6,TRUE,FALSE,147778668,27.97623,"Normal"
"416313","Warning","PolicyViolation","Anomalous",144764561,101185929,25899,33319,5,TRUE,FALSE,171571620,27.28336,"Normal"
"50150","Warning","PolicyViolation","Suspicious",135034376,193345442,43570,30691,6,FALSE,FALSE,215696724,23.34329,"Normal"
"88058","Warning","PolicyViolation","Suspicious",137064586,195735631,43313,30459,6,TRUE,FALSE,140539893,29.50476,"Normal"
